model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
DreadPoor_TEST02-Ignore,44,43.00931319897483,62.86325837666281,56.012202627682186,7.782096515192268,28.530709421544152,41.97186673280423,34.68251329787234
DreadPoor_TEST03-ignore,44,43.525383628339334,71.41994352761783,53.82762519526714,14.813039526986005,31.311584633207957,41.84582919973545,37.890625
DreadPoor_TEST06-ignore,44,43.40239568200603,75.22429376277167,55.08937986688729,10.73697675660287,29.13336692436944,42.2356605489418,36.15359042553192
DreadPoor_TEST07-ignore,44,44.56140371464823,75.1668351086229,55.60730602161197,14.823921834249475,31.00971636258969,40.92137896825397,38.796542553191486
DreadPoor_TEST08-ignore,44,44.33960498072999,76.73428724672758,54.52771682974792,16.690544820818076,31.58494510476474,40.792997685185185,38.53058510638298
DreadPoor_Trinas_Nectar-8B-model_stock,44,42.220779475535295,75.24052846447427,52.5570358248456,13.669669294950666,28.191396364634624,40.659928902116405,36.178523936170215
DreadPoor_UNTESTED-VENN_1.2-8B-Model_Stock,44,43.67690081997502,48.92607171194652,54.7425217921761,13.879229820055652,31.8657022856897,44.481423611111104,37.8656914893617
DreadPoor_VENN_1.2-8B-Model_Stock,44,44.02085029504603,74.04026870924702,54.58338827359084,15.384448439463538,30.165904541953203,41.98358548280424,37.20910904255319
DreadPoor_WIP-Acacia-8B-Model_Stock,44,42.306838550934955,64.92905490764504,51.93648604231254,15.114950272077474,30.849845240050776,42.2426917989418,37.36702127659575
DreadPoor_WIP_Damascus-8B-TIES,44,43.07483173737353,48.52264214506399,54.101112977109665,15.096663208822376,30.51388366247846,41.17345403439154,37.60804521276596
DreadPoor_Wannabe-8B-Model_Stock,44,43.76047221680416,73.99655137258031,53.88737377523699,16.185996535355336,30.590546024165988,41.32761656746032,38.3061835106383
DreadPoor_What_A_Thrill-8B-Model_Stock,44,43.27246728057021,73.04984108831233,53.1096816949725,16.683295408442593,30.558263918687572,40.78831018518518,36.15359042553192
DreadPoor_Winter-8B-SCE,44,43.23788987053123,77.02030612109203,52.60880536754537,17.44274734270796,30.446661722878165,40.683366402116405,38.38929521276596
DreadPoor_Winter_Dawn-8B-TIES,44,43.01678133312885,55.46566443702709,53.08530557048308,15.784156690112722,31.29821712822971,42.770279431216935,39.104055851063826
DreadPoor_Winter_Dusk-8B-TIES,44,38.8430900528304,73.83919112399543,49.512725903657525,6.377086571162059,29.772813002154443,36.854840443121695,34.782247340425535
DreadPoor_Winter_Night-8B-Model_Stock,44,41.69780199153847,72.214280331742,51.844087942644414,12.954664289086953,30.60876687397241,39.112322255291005,36.66057180851064
DreadPoor_Yafune-8B-Model_Stock,44,44.38210129708017,76.6855831416198,54.66207302463527,15.243700200805963,33.091510582072665,41.71276041666667,38.50565159574468
